iter	Passed	Remaining
0	1	1974
1	3	1679
2	4	1512
3	5	1429
4	6	1380
5	8	1360
6	9	1331
7	10	1326
8	12	1328
9	13	1356
10	15	1357
11	16	1387
12	18	1397
13	19	1379
14	20	1361
15	21	1345
16	23	1333
17	24	1320
18	25	1314
19	26	1305
20	27	1297
21	29	1291
22	30	1284
23	31	1277
24	32	1269
25	33	1265
26	35	1261
27	36	1255
28	37	1253
29	39	1269
30	40	1266
31	41	1266
32	43	1267
33	44	1264
34	45	1260
35	46	1255
36	48	1252
37	49	1248
38	50	1244
39	51	1241
40	53	1239
41	54	1243
42	55	1240
43	56	1236
44	58	1232
45	59	1229
46	61	1239
47	62	1240
48	64	1242
49	65	1247
50	67	1249
51	68	1246
52	69	1244
53	70	1241
54	72	1237
55	73	1234
56	74	1230
57	75	1226
58	76	1222
59	77	1219
60	79	1217
61	80	1214
62	81	1210
63	83	1222
64	84	1222
65	86	1219
66	87	1217
67	88	1215
68	89	1212
69	91	1209
70	92	1206
71	93	1203
72	94	1200
73	95	1197
74	96	1195
75	98	1192
76	99	1189
77	100	1186
78	101	1183
79	102	1180
80	103	1177
81	105	1182
82	106	1175
83	107	1176
84	109	1173
85	110	1171
86	111	1169
87	112	1166
88	113	1164
89	114	1162
90	116	1160
91	117	1158
92	118	1155
93	119	1153
94	120	1150
95	121	1148
96	123	1146
97	124	1145
98	126	1149
99	129	1161
100	130	1160
101	131	1159
102	133	1158
103	134	1156
104	135	1154
105	136	1152
106	137	1150
107	139	1149
108	140	1146
109	141	1145
110	142	1144
111	144	1143
112	145	1142
113	146	1141
114	148	1140
115	149	1140
116	151	1141
117	152	1141
118	153	1139
119	155	1137
120	156	1136
121	157	1132
122	158	1131
123	159	1129
124	161	1127
125	162	1125
126	163	1121
127	164	1119
128	165	1117
129	166	1115
130	167	1113
131	169	1111
132	170	1109
133	171	1108
134	173	1111
135	174	1109
136	175	1108
137	177	1107
138	178	1105
139	179	1104
140	180	1101
141	181	1097
142	182	1095
143	184	1093
144	185	1092
145	186	1090
146	187	1089
147	188	1087
148	190	1086
149	191	1084
150	192	1083
151	193	1081
152	195	1084
153	197	1084
154	198	1082
155	199	1080
156	200	1078
157	202	1076
158	203	1074
159	204	1074
160	205	1070
161	206	1068
162	207	1066
163	208	1064
164	210	1062
165	211	1062
166	212	1060
167	213	1059
168	215	1057
169	216	1056
170	218	1058
171	219	1057
172	220	1055
173	222	1054
174	223	1052
175	224	1050
176	225	1048
177	226	1046
178	227	1045
179	229	1043
180	230	1041
181	231	1040
182	232	1038
183	233	1037
184	235	1035
185	236	1033
186	237	1031
187	238	1029
188	240	1030
189	241	1030
190	242	1028
191	244	1027
192	245	1025
193	246	1023
194	247	1021
195	248	1020
196	250	1019
197	251	1017
198	252	1016
199	253	1014
200	254	1013
201	256	1011
202	257	1009
203	258	1008
204	259	1007
205	260	1005
206	262	1004
207	263	1004
208	265	1003
209	266	1002
210	268	1002
211	269	1000
212	270	999
213	271	997
214	272	995
215	274	994
216	275	994
217	276	993
218	278	992
219	279	991
220	280	990
221	282	988
222	283	987
223	285	990
224	287	991
225	289	989
226	290	989
227	291	987
228	293	986
229	294	985
230	295	984
231	297	983
232	298	982
233	299	981
234	300	979
235	302	978
236	303	976
237	304	974
238	305	972
239	307	972
240	308	971
241	310	971
242	311	969
243	312	967
244	313	966
245	314	964
246	315	962
247	316	961
248	318	959
249	319	957
250	320	956
251	321	954
252	322	953
253	323	951
254	325	949
255	326	948
256	327	946
257	328	945
258	330	946
259	332	945
260	333	943
261	334	942
262	335	940
263	336	939
264	337	937
265	339	935
266	340	934
267	341	932
268	342	931
269	343	929
270	344	927
271	346	926
272	347	924
273	348	923
274	349	921
275	350	920
276	353	921
277	354	920
278	355	918
279	356	917
280	358	916
281	359	914
282	360	912
283	361	911
